date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-03-27,511880.SH,银华日利,buy,101.269,9700,982310.72,982.31,闲置现金扫入,现金管理
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600887.SH,伊利股份,buy,17.638,2800,49385.34,49.39,新买入，评分57(👀 观察等待)，股息率4.31%，目标权重5.0%,消费红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600066.SH,宇通客车,buy,18.518,2700,49999.95,50.0,新买入，评分65(👀 观察等待)，股息率5.14%，目标权重5.0%,消费红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600000.SH,浦发银行,buy,15.866,3100,49184.13,49.18,新买入，评分53(👀 观察等待)，股息率4.54%，目标权重5.0%,金融红利
2015-06-26,511880.SH,银华日利,sell,101.977,1400,142767.78,285.54,释放现金用于调仓,现金管理
2015-06-26,000895.SZ,双汇发展,buy,20.14,7400,149036.89,149.04,新买入，评分81(🔥 大胆攒股)，股息率6.70%，目标权重15.0%,消费红利
2015-06-26,511880.SH,银华日利,sell,101.977,1000,101976.99,203.95,释放现金用于调仓,现金管理
2015-06-26,600660.SH,福耀玻璃,buy,13.604,7400,100666.57,100.67,新买入，评分69(✅ 积极布局)，股息率5.24%，目标权重10.0%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,600377.SH,宁沪高速,buy,8.058,4800,38678.64,38.68,新买入，评分57(👀 观察等待)，股息率4.48%，目标权重4.1%,基础设施红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,601818.SH,光大银行,buy,4.154,9400,39049.01,39.05,新买入，评分52(👀 观察等待)，股息率4.26%，目标权重4.1%,金融红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600066.SH,宇通客车,buy,18.078,1600,28924.9,28.92,加仓，评分69(✅ 积极布局)，股息率5.26%，权重5.0%→8.1%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,1300,133415.25,266.83,释放现金用于调仓,现金管理
2015-09-25,000651.SZ,格力电器,buy,16.106,8800,141733.59,141.73,新买入，评分85(🔥 大胆攒股)，股息率17.71%，目标权重14.6%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600660.SH,福耀玻璃,buy,11.712,2700,31621.59,31.62,加仓，评分81(🔥 大胆攒股)，股息率6.09%，权重8.9%→12.2%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,1000,102627.11,205.25,释放现金用于调仓,现金管理
2015-09-25,601288.SH,农业银行,buy,3.113,30300,94327.23,94.33,新买入，评分71(✅ 积极布局)，股息率5.56%，目标权重9.7%,金融红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600690.SH,海尔智家,buy,9.439,4100,38701.66,38.7,新买入，评分59(👀 观察等待)，股息率4.96%，目标权重4.1%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,600011.SH,华能国际,buy,8.639,4500,38873.83,38.87,新买入，评分56(👀 观察等待)，股息率4.18%，目标权重4.1%,基础设施红利
2015-09-25,511880.SH,银华日利,sell,102.627,900,92364.4,184.73,释放现金用于调仓,现金管理
2015-09-25,601398.SH,工商银行,buy,4.454,21200,94434.34,94.43,新买入，评分65(✅ 积极布局)，股息率5.45%，目标权重9.7%,金融红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,601006.SH,大秦铁路,buy,9.099,4300,39126.09,39.13,新买入，评分64(👀 观察等待)，股息率5.02%，目标权重4.1%,基础设施红利
2015-12-25,601818.SH,光大银行,sell,4.336,9400,40755.2,81.51,清仓，评分46(⏸️ 暂缓)，低于观察阈值，当前权重3.6%,金融红利
2015-12-25,600066.SH,宇通客车,sell,22.468,1700,38194.77,76.39,减仓，评分56(👀 观察等待)，权重8.4%→5.0%,消费红利
2015-12-25,600660.SH,福耀玻璃,sell,15.694,6400,100443.46,200.89,减仓，评分58(👀 观察等待)，权重13.9%→5.0%,消费红利
2015-12-25,601288.SH,农业银行,sell,3.267,9200,30053.92,60.11,减仓，评分64(👀 观察等待)，权重8.7%→6.0%,金融红利
2015-12-25,600000.SH,浦发银行,sell,19.301,3100,59832.11,119.66,清仓，评分39(⏸️ 暂缓)，低于观察阈值，当前权重5.2%,金融红利
2015-12-25,601398.SH,工商银行,sell,4.645,6400,29730.24,59.46,减仓，评分64(👀 观察等待)，权重8.6%→6.0%,金融红利
2015-12-25,601633.SH,长城汽车,buy,12.152,14100,171345.17,171.35,新买入，评分81(🔥 大胆攒股)，股息率6.26%，目标权重15.0%,消费红利
2015-12-25,511880.SH,银华日利,buy,103.512,1100,113863.11,113.86,闲置现金扫入,现金管理
2016-03-25,600066.SH,宇通客车,sell,19.72,1100,21692.29,43.38,减仓，评分59(👀 观察等待)，权重5.1%→2.8%,消费红利
2016-03-25,601633.SH,长城汽车,sell,9.091,4700,42727.23,85.45,减仓，评分85(🔥 大胆攒股)，权重12.7%→8.4%,消费红利
2016-03-25,000651.SZ,格力电器,sell,19.201,3400,65282.65,130.57,减仓，评分85(🔥 大胆攒股)，权重16.7%→10.1%,消费红利
2016-03-25,600660.SH,福耀玻璃,sell,14.765,1700,25100.87,50.2,减仓，评分59(👀 观察等待)，权重5.4%→2.8%,消费红利
2016-03-25,000895.SZ,双汇发展,sell,20.1,3100,62309.63,124.62,减仓，评分81(🔥 大胆攒股)，权重14.7%→8.4%,消费红利
2016-03-25,601818.SH,光大银行,buy,3.704,7600,28148.12,28.15,新买入，评分54(👀 观察等待)，股息率4.78%，目标权重2.8%,金融红利
2016-03-25,600023.SH,浙能电力,buy,5.566,5100,28384.36,28.38,新买入，评分51(👀 观察等待)，股息率4.27%，目标权重2.8%,基础设施红利
2016-03-25,600886.SH,国投电力,buy,6.747,4200,28336.31,28.34,新买入，评分50(👀 观察等待)，股息率4.07%，目标权重2.8%,基础设施红利
2016-03-25,601328.SH,交通银行,buy,5.516,5100,28129.1,28.13,新买入，评分54(👀 观察等待)，股息率4.66%，目标权重2.8%,金融红利
2016-03-25,601088.SH,中国神华,buy,14.014,2000,28028.0,28.03,新买入，评分53(👀 观察等待)，股息率5.02%，目标权重2.8%,周期资源红利
2016-03-25,600795.SH,国电电力,buy,3.093,9200,28456.43,28.46,新买入，评分58(👀 观察等待)，股息率4.61%，目标权重2.8%,基础设施红利
