date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-06-26,511880.SH,银华日利,buy,102.181,9600,980939.0,980.94,闲置现金扫入,现金管理
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,000830.SZ,鲁西化工,buy,5.896,8500,50115.06,50.12,新买入，评分63(👀 观察等待)，股息率4.84%，目标权重5.0%,周期资源红利
2015-09-25,511880.SH,银华日利,sell,102.627,500,51313.56,102.63,释放现金用于调仓,现金管理
2015-09-25,600352.SH,浙江龙盛,buy,9.65,5200,50178.13,50.18,新买入，评分64(👀 观察等待)，股息率4.93%，目标权重5.0%,防御红利
2015-12-25,600352.SH,浙江龙盛,sell,12.318,5200,64051.88,128.1,清仓，评分43(⏸️ 暂缓)，低于观察阈值，当前权重6.2%,防御红利
2015-12-25,511880.SH,银华日利,buy,103.512,600,62107.15,62.11,闲置现金扫入,现金管理
2016-03-25,511880.SH,银华日利,sell,103.965,400,41585.81,83.17,释放现金用于调仓,现金管理
2016-03-25,600863.SH,华能蒙电,buy,3.403,15000,51051.0,51.05,新买入，评分64(👀 观察等待)，股息率5.03%，目标权重5.0%,基础设施红利
2016-03-25,511880.SH,银华日利,sell,103.965,600,62378.71,124.76,释放现金用于调仓,现金管理
2016-03-25,000830.SZ,鲁西化工,buy,5.425,10400,56424.37,56.42,加仓，评分65(✅ 积极布局)，股息率5.26%，权重4.5%→10.0%,周期资源红利
2016-03-25,511880.SH,银华日利,sell,103.965,500,51982.26,103.96,释放现金用于调仓,现金管理
2016-03-25,600352.SH,浙江龙盛,buy,10.25,5000,51251.2,51.25,新买入，评分58(👀 观察等待)，股息率4.64%，目标权重5.0%,防御红利
2016-06-24,600352.SH,浙江龙盛,sell,8.352,5000,41758.2,83.52,清仓，评分24(🚫 回避)，低于观察阈值，当前权重4.2%,防御红利
2016-06-24,511880.SH,银华日利,sell,104.605,100,10460.54,20.92,释放现金用于调仓,现金管理
2016-06-24,600863.SH,华能蒙电,buy,2.993,18200,54472.42,54.47,加仓，评分77(✅ 积极布局)，股息率5.72%，权重4.5%→10.0%,基础设施红利
2016-06-24,511880.SH,银华日利,sell,104.605,500,52302.68,104.61,释放现金用于调仓,现金管理
2016-06-24,002372.SZ,伟星新材,buy,14.414,3400,49008.96,49.01,新买入，评分51(👀 观察等待)，股息率4.17%，目标权重5.0%,防御红利
2016-06-24,511880.SH,银华日利,sell,104.605,1400,146447.5,292.89,释放现金用于调仓,现金管理
2016-06-24,601000.SH,唐山港,buy,3.794,39300,149095.95,149.1,新买入，评分81(🔥 大胆攒股)，股息率6.60%，目标权重15.0%,基础设施红利
2016-06-24,511880.SH,银华日利,sell,104.605,600,62763.21,125.53,释放现金用于调仓,现金管理
2016-06-24,000830.SZ,鲁西化工,buy,4.364,15300,66774.71,66.77,加仓，评分81(🔥 大胆攒股)，股息率6.54%，权重8.3%→15.0%,周期资源红利
2016-06-24,511880.SH,银华日利,sell,104.605,500,52302.68,104.61,释放现金用于调仓,现金管理
2016-06-24,300146.SZ,汤臣倍健,buy,13.193,3700,48814.77,48.81,新买入，评分53(👀 观察等待)，股息率4.55%，目标权重5.0%,消费红利
2016-06-24,511880.SH,银华日利,sell,104.605,900,94144.82,188.29,释放现金用于调仓,现金管理
2016-06-24,600177.SH,雅戈尔,buy,13.554,7300,98940.84,98.94,新买入，评分78(✅ 积极布局)，股息率5.91%，目标权重10.0%,消费红利
2016-09-30,600863.SH,华能蒙电,sell,3.067,33200,101822.08,203.64,清仓，评分25(🚫 回避)，低于观察阈值，当前权重9.8%,基础设施红利
2016-09-30,002372.SZ,伟星新材,sell,17.273,3400,58727.21,117.45,清仓，评分32(🚫 回避)，低于观察阈值，当前权重5.7%,防御红利
2016-09-30,601000.SH,唐山港,sell,3.816,12100,46175.78,92.35,减仓，评分78(✅ 积极布局)，权重14.5%→10.0%,基础设施红利
2016-09-30,000830.SZ,鲁西化工,sell,4.985,13400,66799.13,133.6,减仓，评分73(✅ 积极布局)，权重16.5%→10.0%,周期资源红利
2016-09-30,511880.SH,银华日利,buy,105.569,2500,263921.43,263.92,闲置现金扫入,现金管理
2016-12-30,000830.SZ,鲁西化工,sell,5.584,11300,63103.83,126.21,减仓，评分56(👀 观察等待)，权重11.1%→5.0%,周期资源红利
2016-12-30,511880.SH,银华日利,buy,106.16,600,63696.23,63.7,闲置现金扫入,现金管理
2017-06-30,601000.SH,唐山港,sell,5.215,27200,141842.02,283.68,清仓，评分25(🚫 回避)，低于观察阈值，当前权重13.0%,基础设施红利
